t,exp1
0,0
0.1,0.000000284
0.2,8.01485158125152E-07
0.3,1.74517674551848E-06
0.4,3.45138148230381E-06
0.5,6.49528916935418E-06
0.6,1.18412310900813E-05
0.7,2.10736160830204E-05
0.8,0.000036743
0.9,6.28713616849151E-05
1,0.0001056693
1.1,0.0001745258
1.2,0.0002833315
1.3,0.0004521895
1.4,0.000709548
1.5,0.0010947461
1.6,0.001660908
1.7,0.0024780327
1.8,0.0036360233
1.9,0.0052472836
2,0.0074483938
2.1,0.010400285
2.2,0.0142862879
2.3,0.0193074654
2.4,0.0256747674
2.5,0.0335977909
2.6,0.0432702881
2.7,0.0548530028
2.8,0.0684549064
2.9,0.084114362
3,0.1017821044
3.1,0.1213080957
3.2,0.1424342459
3.3,0.1647946322
3.4,0.1879242258
3.5,0.2112762945
3.6,0.2342476906
3.7,0.2562102896
3.8,0.2765460558
3.9,0.2946826974
4,0.3101267237
4.1,0.3224909635
4.2,0.3315138985
4.3,0.3370691534
4.4,0.3391663932
4.5,0.3379413389
4.6,0.3336387895
4.7,0.3265898525
4.8,0.3171859107
4.9,0.3058518911
5,0.2930210995
5.1,0.2791133898
5.2,0.2645178279
5.3,0.2495803859
5.4,0.2345966316
5.5,0.219808933
5.6,0.2054073901
5.7,0.1915335583
5.8,0.1782860075
5.9,0.1657268465
6,0.1538884936
6.1,0.1427801543
6.2,0.1323936514
6.3,0.1227084135
6.4,0.1136955579
6.5,0.1053210988
6.6,0.0975483706
6.7,0.0903397847
6.8,0.0836580507
6.9,0.07746698
7,0.0717319814
7.1,0.0664203345
7.2,0.0615013114
7.3,0.0569461963
7.4,0.0527282429
7.5,0.0488225939
7.6,0.04520618
7.7,0.0418576113
7.8,0.0387570658
7.9,0.0358861807
8,0.0332279492
8.1,0.0307666215
8.2,0.0284876133
8.3,0.02637742
8.4,0.0244235371
8.5,0.0226143862
8.6,0.0209392464
8.7,0.0193881911
8.8,0.0179520287
8.9,0.0166222488
9,0.015390971
9.1,0.014250899
9.2,0.0131952768
9.3,0.0122178489
9.4,0.011312823
9.5,0.0104748361
9.6,0.0096989222
9.7,0.0089804835
9.8,0.0083152625
9.9,0.0076993171
10,0.0071289973
10.1,0.0066009234
10.2,0.0061119661
10.3,0.0056592278
10.4,0.0052400257
10.5,0.0048518757
10.6,0.0044924775
10.7,0.0041597013
10.8,0.0038515753
10.9,0.0035662734
11,0.003302105
11.1,0.0030575046
11.2,0.0028310228
11.3,0.0026213174
11.4,0.0024271457
11.5,0.0022473571
11.6,0.0020808862
11.7,0.0019267465
11.8,0.0017840245
11.9,0.0016518746
12,0.0015295135
12.1,0.0014162162
12.2,0.0013113113
12.3,0.0012141771
12.4,0.001124238
12.5,0.0010409611
12.6,0.0009638529
12.7,0.0008924564
12.8,0.0008263485
12.9,0.0007651375
13,0.0007084607
13.1,0.0006559821
13.2,0.0006073908
13.3,0.0005623989
13.4,0.0005207397
13.5,0.0004821664
13.6,0.0004464504
13.7,0.00041338
13.8,0.0003827592
13.9,0.0003544067
14,0.0003281543
14.1,0.0003038466
14.2,0.0002813395
14.3,0.0002604995
14.4,0.0002412032
14.5,0.0002233363
14.6,0.0002067929
14.7,0.0001914749
14.8,0.0001772916
14.9,0.0001641589
15,0.000151999
15.1,0.0001407398
15.2,0.0001303146
15.3,0.0001206617
15.4,0.0001117238
15.5,0.0001034479
15.6,9.57851206641258E-05
15.7,8.86899262084332E-05
15.8,8.21203017370454E-05
15.9,7.60373161381902E-05
16,7.04049220862873E-05
16.1,6.51897424281466E-05
16.2,6.03608723924121E-05
16.3,5.58896964501573E-05
16.4,5.17497187413648E-05
16.5,4.7916406062406E-05
16.6,0.000044367
16.7,4.10805947386911E-05
16.8,3.80375875784393E-05
16.9,0.00003522
17,3.26111002171617E-05
17.1,3.01954630508612E-05
17.2,2.79587619793368E-05
17.3,2.58877424764286E-05
17.4,2.39701318327753E-05
17.5,2.21945664286401E-05
17.6,2.05505243939364E-05
17.7,1.9028263256398E-05
17.8,1.76187622084046E-05
17.9,1.63136686503396E-05
18,1.51052486936975E-05
18.1,1.39863413306302E-05
18.2,1.295031599834E-05
18.3,0.000011991
18.4,1.11028085573219E-05
18.5,1.02803782552841E-05
18.6,9.51886871921441E-06
18.7,8.81376729957053E-06
18.8,8.16089561716215E-06
18.9,7.55638480238318E-06
19,6.99665256857465E-06
19.1,6.47838198365748E-06
19.2,5.99850181423657E-06
19.3,5.55416832569741E-06
19.4,5.142748430444E-06
19.5,4.76180408441495E-06
19.6,4.40907783941384E-06
19.7,4.08247946563697E-06
19.8,3.78007356512516E-06
19.9,3.50006810273782E-06
20,3.24080378668426E-06
20.1,3.0007442356826E-06
20.2,2.77846687447717E-06
20.3,2.57265450376206E-06
20.4,2.38208749455495E-06
20.5,2.20563656076527E-06
20.6,2.04225606712796E-06
20.7,0.000001891
20.8,1.7509053942203E-06
20.9,1.62120869227558E-06
21,1.50111915388799E-06
21.1,1.38992513727922E-06
21.2,0.000001287
21.3,1.19163676856987E-06
21.4,1.10336737416984E-06
21.5,1.02163645373541E-06
21.6,0.000000946
21.7,8.75888585456875E-07
21.8,0.000000811
21.9,7.50933280942159E-07
22,6.95308590858832E-07
22.1,6.43804248382134E-07
22.2,5.96115042563939E-07
22.3,0.000000552
22.4,5.11072563524752E-07
22.5,4.73215334823305E-07
22.6,4.38162345416313E-07
22.7,4.05705873864826E-07
22.8,3.75653585503865E-07
22.9,3.47827392681349E-07
23,3.22062399423736E-07
23.1,0
23.2,0
23.3,0
23.4,0
23.5,0
23.6,0
23.7,0
23.8,0
23.9,0
24,0
24.1,0
24.2,0
24.3,0
24.4,0
24.5,0
24.6,0
24.7,0
24.8,0
24.9,0
25,0
25.1,0
25.2,0
25.3,0
25.4,0
25.5,0
25.6,0
25.7,0
25.8,0
25.9,0
26,0
26.1,0
26.2,0
26.3,0
26.4,0
26.5,0
26.6,0
26.7,0
26.8,0
26.9,0
27,0
27.1,0
27.2,0
27.3,0
27.4,0
27.5,0
27.6,0
27.7,0
27.8,0
27.9,0
28,0
28.1,0
28.2,0
28.3,0
28.4,0
28.5,0
28.6,0
28.7,0
28.8,0
28.9,0
29,0
29.1,0
29.2,0
29.3,0
29.4,0
29.5,0
29.6,0
29.7,0
29.8,0
29.9,0
30,0
